cityid,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
13,2020,2,5,.0246,.0911,.0167,-.0621,.0336,.0495,.0309,.0186,.0379
13,2020,2,6,.0242,.0922,.0143,-.0656,.0336,.0617,.0311,.0182,.0364
13,2020,2,7,.0237,.0942,.0101,-.0673,.0336,.0714,.0305,.0174,.0383
13,2020,2,8,.0232,.0987,.00687,-.0661,.0341,.074,.0298,.0165,.0402
13,2020,2,9,.0228,.103,.00428,-.065,.0345,.0751,.0291,.0154,.0435
13,2020,2,10,.0224,.108,.00186,-.0638,.035,.0761,.0284,.0143,.0464
13,2020,2,11,.0228,.112,.000727,-.0615,.0356,.0825,.0281,.0144,.0514
13,2020,2,12,.0229,.117,-.0017,-.0592,.0363,.0848,.0269,.0147,.0556
13,2020,2,13,.0228,.121,-.00331,-.0575,.0372,.0854,.026,.014,.0599
13,2020,2,14,.0222,.124,-.00364,-.0569,.0385,.0815,.0249,.013,.063
13,2020,2,15,.0219,.125,-.00137,-.0523,.0388,.0745,.0241,.0132,.0618
13,2020,2,16,.0214,.126,-.000566,-.0476,.039,.0683,.0233,.0133,.0593
13,2020,2,17,.0203,.127,-.00137,-.043,.0392,.0565,.0221,.0123,.0568
13,2020,2,18,.0214,.127,-.00137,-.0419,.0392,.0703,.0225,.0141,.0585
13,2020,2,19,.0218,.127,-.000889,-.0361,.039,.0724,.0224,.0151,.057
13,2020,2,20,.0217,.128,-.0017,-.0309,.0381,.0685,.0223,.0156,.0553
13,2020,2,21,.0213,.13,-.00348,-.0274,.0367,.0718,.0206,.016,.0553
13,2020,2,22,.0197,.128,-.0111,-.0297,.0361,.0794,.0178,.015,.0548
13,2020,2,23,.0184,.126,-.0164,-.0321,.0354,.0833,.0152,.0144,.0541
13,2020,2,24,.0166,.125,-.0221,-.0297,.035,.0866,.012,.0136,.052
13,2020,2,25,.0148,.123,-.0274,-.0332,.0343,.0858,.00934,.012,.0506
13,2020,2,26,.0126,.122,-.0332,-.0361,.0341,.0815,.00625,.0101,.0496
13,2020,2,27,.011,.12,-.039,-.0384,.0338,.0839,.00352,.00882,.0485
13,2020,2,28,.0101,.119,-.0429,-.0378,.0336,.0831,.00373,.00768,.0458
13,2020,2,29,.00928,.116,-.045,-.0326,.0312,.0792,.00289,.0072,.0436
13,2020,3,1,.00861,.113,-.0476,-.0274,.0287,.0796,.00275,.00629,.0417
13,2020,3,2,.00784,.11,-.0507,-.0222,.0263,.0798,.00236,.0054,.04
13,2020,3,3,.00693,.107,-.0539,-.017,.0234,.0806,.0023,.00397,.0378
13,2020,3,4,.00637,.104,-.0557,-.0118,.0205,.0858,.00233,.00292,.0369
13,2020,3,5,.00562,.101,-.057,-.0101,.0178,.0905,.00208,.00198,.0341
13,2020,3,6,.00489,.0947,-.0589,-.00722,.0153,.0965,.001,.0014,.032
13,2020,3,7,.00164,.079,-.0631,-.0113,.0102,.107,-.00534,.000466,.0263
13,2020,3,8,-.00211,.0633,-.0673,-.0153,.00507,.11,-.0125,-.000775,.0208
13,2020,3,9,-.00596,.0476,-.0715,-.0193,-.0000557,.112,-.0198,-.00183,.0144
13,2020,3,10,-.00959,.0314,-.0754,-.0234,-.00519,.115,-.0271,-.00251,.00845
13,2020,3,11,-.0135,.0147,-.0801,-.0286,-.0103,.117,-.0347,-.00339,.002
13,2020,3,12,-.0178,-.00152,-.0859,-.0309,-.015,.111,-.0429,-.0049,-.00326
13,2020,3,13,-.023,-.0177,-.093,-.0361,-.0192,.103,-.0526,-.00742,-.00629
13,2020,3,14,-.0282,-.0248,-.0956,-.0378,-.0217,.087,-.0573,-.0135,-.00939
13,2020,3,15,-.0331,-.0319,-.0971,-.0396,-.0241,.0734,-.0615,-.0194,-.0124
13,2020,3,16,-.0391,-.039,-.0997,-.0413,-.0266,.0446,-.0668,-.0263,-.0164
13,2020,3,17,-.0464,-.0461,-.104,-.043,-.0291,-.0016,-.073,-.0343,-.0223
13,2020,3,18,-.0544,-.0527,-.108,-.0442,-.0317,-.0564,-.0801,-.0428,-.0283
13,2020,3,19,-.0631,-.0592,-.113,-.0459,-.0346,-.118,-.0875,-.0527,-.0349
13,2020,3,20,-.0721,-.0673,-.117,-.0476,-.0382,-.184,-.0952,-.0621,-.0443
13,2020,3,21,-.0821,-.0704,-.13,-.054,-.0424,-.241,-.105,-.0723,-.0534
13,2020,3,22,-.091,-.0734,-.141,-.0604,-.0467,-.284,-.113,-.0807,-.0624
13,2020,3,23,-.0997,-.0765,-.152,-.0667,-.0509,-.324,-.122,-.0895,-.0688
13,2020,3,24,-.109,-.0795,-.166,-.0736,-.0551,-.365,-.132,-.0991,-.0761
13,2020,3,25,-.118,-.083,-.179,-.08,-.0592,-.401,-.14,-.108,-.0834
13,2020,3,26,-.126,-.0866,-.192,-.0852,-.0643,-.425,-.148,-.116,-.0909
13,2020,3,27,-.137,-.0977,-.206,-.0915,-.0699,-.455,-.157,-.127,-.103
