year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_tws
2020,1,25,48,.00954,.0326,.00255,-.00376,.0111,-.00456,-.00894,.000249,.0116,-.00476
2020,5,10,48,-.408,-.686,-.121,-.266,.164,-.321,-.171,-.0734,-.106,-.601
2020,2,14,48,.0174,.124,.00701,.0255,.0126,.00616,.00478,-.00718,.0131,-.027
2020,2,23,48,-.0264,-.0338,-.00818,-.0363,.000398,-.00334,-.00125,-.0418,-.00107,-.0527
2020,2,19,48,-.0135,.0596,.00747,-.00778,.00721,.00879,.00952,-.0128,.0129,-.0441
2020,3,19,48,-.339,-.517,-.0545,-.226,.659,-.204,-.0795,-.0402,-.0444,-.388
2020,2,2,48,-.0167,-.0296,-.0173,.000475,.00607,-.0186,-.00831,-.0308,-.0186,-.0156
2020,5,11,48,-.41,-.694,-.134,-.275,.109,-.312,-.183,-.0885,-.119,-.603
2020,5,25,48,-.412,-.635,-.156,-.197,-.0094,-.198,-.173,-.0764,-.175,-.604
2020,3,23,48,-.553,-.673,-.182,-.433,.399,-.347,-.206,-.167,-.173,-.553
2020,2,12,48,.0126,.179,.00407,.0178,.0122,.00837,.0052,-.00404,.00575,-.0254
2020,5,16,48,-.426,-.68,-.161,-.251,.00304,-.239,-.2,-.118,-.152,-.611
2020,4,23,48,-.534,-.764,-.203,-.398,.0285,-.51,-.256,-.157,-.186,-.672
2020,4,25,48,-.518,-.752,-.19,-.392,.0657,-.5,-.241,-.142,-.174,-.658
2020,3,26,48,-.603,-.723,-.254,-.506,.205,-.512,-.28,-.235,-.244,-.615
2020,1,24,48,.0119,.038,.00705,.000859,.00705,-.00302,-.00325,.00463,.0152,.000294
2020,2,7,48,-.00829,.0752,.00591,-.00734,-.00359,.00989,.0215,-.0103,.00044,-.00315
2020,1,29,48,-.00263,.0112,-.0109,-.00685,.00796,-.00819,-.0141,-.0104,-.0087,-.0217
2020,5,29,48,-.401,-.57,-.146,-.177,-.0295,-.18,-.165,-.0733,-.161,-.584
2020,5,23,48,-.413,-.619,-.132,-.17,.0689,-.223,-.152,-.0462,-.151,-.599
