statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
30,2020,2,5,.031,.,-.0163,.0983,.0443,.00885,.0622,.021,.
30,2020,2,6,.0299,.,-.0204,.106,.0422,.00483,.0595,.0207,.
30,2020,2,7,.0291,.,-.0204,.113,.0401,.00559,.0565,.0205,.
30,2020,2,8,.0268,.,-.0213,.121,.038,.00534,.0528,.0187,.
30,2020,2,9,.0258,.,-.0168,.128,.0359,.00433,.0494,.0186,.
30,2020,2,10,.0252,.,-.011,.135,.0338,.00534,.0447,.0195,.
30,2020,2,11,.0232,.,-.0128,.143,.0359,.0109,.0424,.0178,.
30,2020,2,12,.0215,.,-.0136,.135,.038,.0156,.0416,.0156,.
30,2020,2,13,.0218,.,-.0114,.128,.0422,.0209,.0438,.0153,.
30,2020,2,14,.0223,.,-.0105,.121,.0443,.0259,.0454,.0155,.
30,2020,2,15,.0245,.,-.00559,.128,.0485,.0277,.0475,.0178,.
30,2020,2,16,.0253,.,-.00604,.135,.0527,.0274,.0478,.019,.
30,2020,2,17,.0243,.,-.0136,.143,.057,.0257,.0467,.0183,.
30,2020,2,18,.0285,.,-.0047,.143,.0549,.0259,.05,.0227,.
30,2020,2,19,.0313,.,-.00291,.158,.057,.0224,.0524,.0261,.
30,2020,2,20,.0324,.,-.00291,.173,.0549,.0171,.05,.0286,.
30,2020,2,21,.0345,.,.00112,.187,.0549,.0146,.0521,.0309,.
30,2020,2,22,.0336,.,-.00246,.195,.0549,.0109,.0521,.0297,.
30,2020,2,23,.0333,.,-.00425,.202,.0549,.0101,.053,.0289,.
30,2020,2,24,.0344,.,-.00515,.217,.0591,.0136,.0556,.0295,.
30,2020,2,25,.0343,.,-.000224,.224,.0591,.0104,.0563,.0289,.
30,2020,2,26,.0339,.,-.00112,.232,.0591,.0136,.0548,.0287,.
30,2020,2,27,.0337,.,-.000224,.239,.0612,.0159,.0569,.0275,.
30,2020,2,28,.033,.,.00112,.247,.0633,.0144,.0542,.0273,.
30,2020,2,29,.0318,.,.00515,.239,.0612,.0214,.0474,.028,.
30,2020,3,1,.029,.,.00336,.232,.0591,.0252,.0416,.0263,.
30,2020,3,2,.0261,.,.00112,.224,.057,.0282,.0348,.0248,.
30,2020,3,3,.0223,.,-.00559,.217,.0549,.0342,.0262,.0227,.
30,2020,3,4,.0184,.,-.0114,.21,.0527,.0347,.0196,.0198,.
30,2020,3,5,.0148,.,-.0181,.202,.0506,.038,.013,.0172,.
30,2020,3,6,.0132,.,-.0195,.195,.0527,.0382,.0103,.0157,.
30,2020,3,7,.0105,.,-.0257,.195,.0633,.0332,.0114,.0115,.
30,2020,3,8,.0101,.,-.0244,.195,.0738,.0365,.0122,.0104,.
30,2020,3,9,.0094,.,-.0235,.195,.0844,.0367,.0128,.00904,.
30,2020,3,10,.0086,.,-.0222,.195,.0949,.0337,.0135,.00752,.
30,2020,3,11,.00726,.,-.0213,.202,.105,.0297,.0136,.0055,.
30,2020,3,12,.00512,.,-.0199,.21,.118,.0289,.012,.00302,.
30,2020,3,13,-.000512,.,-.0248,.217,.124,.0254,.00606,-.00261,.
30,2020,3,14,-.00382,.,-.0271,.224,.124,.0194,.00139,-.00552,.
30,2020,3,15,-.00829,.,-.0329,.232,.124,.00835,-.00477,-.0096,.
30,2020,3,16,-.0145,.,-.0463,.239,.124,-.00245,-.012,-.0154,.
30,2020,3,17,-.0222,.,-.0611,.247,.124,-.0306,-.023,-.0218,.
30,2020,3,18,-.0312,.,-.0781,.239,.124,-.073,-.0367,-.029,.
30,2020,3,19,-.0417,.,-.0982,.232,.122,-.123,-.0508,-.0379,.
30,2020,3,20,-.0533,.,-.122,.224,.12,-.176,-.0678,-.0472,.
30,2020,3,21,-.0657,.,-.137,.21,.11,-.24,-.0824,-.0587,.
30,2020,3,22,-.0762,.,-.147,.195,.0992,-.289,-.0938,-.0687,.
30,2020,3,23,-.0886,.,-.167,.18,.0886,-.334,-.107,-.0808,.
30,2020,3,24,-.101,.,-.185,.165,.0781,-.369,-.12,-.0923,.
30,2020,3,25,-.111,.,-.199,.158,.0675,-.394,-.13,-.103,.
30,2020,3,26,-.122,.,-.213,.15,.0549,-.415,-.142,-.114,.
30,2020,3,27,-.132,.,-.223,.143,.0443,-.438,-.148,-.124,.
30,2020,3,28,-.14,.,-.234,.158,.0401,-.455,-.152,-.134,.
30,2020,3,29,-.147,.,-.241,.173,.0359,-.46,-.154,-.143,.
30,2020,3,30,-.155,.,-.249,.187,.0316,-.474,-.163,-.15,.
30,2020,3,31,-.161,.,-.255,.202,.0274,-.486,-.165,-.158,.
30,2020,4,1,-.169,.,-.267,.217,.0232,-.498,-.17,-.166,.
30,2020,4,2,-.173,.,-.274,.232,.0211,-.507,-.169,-.172,.
30,2020,4,3,-.177,.,-.284,.247,.0127,-.513,-.171,-.178,.
30,2020,4,4,-.185,.,-.294,.247,.00422,-.512,-.178,-.185,.
30,2020,4,5,-.192,.,-.304,.247,-.00422,-.515,-.185,-.192,.
30,2020,4,6,-.2,.,-.318,.247,-.0127,-.514,-.193,-.2,.
30,2020,4,7,-.207,.,-.328,.247,-.0211,-.511,-.201,-.208,.
30,2020,4,8,-.215,.,-.339,.239,-.0295,-.509,-.208,-.216,.
30,2020,4,9,-.223,.,-.348,.232,-.0422,-.504,-.217,-.224,.
30,2020,4,10,-.231,.,-.354,.224,-.0485,-.502,-.223,-.233,.
30,2020,4,11,-.238,.,-.357,.21,-.0591,-.5,-.228,-.24,.
