year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,5,15,40,-.371,-.509,-.253,-.399,-.39,-.378,-.301,-.332,-.406,-.397,-.428
2020,4,10,40,-.312,-.43,-.311,-.368,-.261,-.606,-.427,-.328,-.303,-.366,-.168
2020,4,3,40,-.182,-.434,-.118,-.174,-.132,-.447,-.362,-.166,-.172,-.29,-.0155
2020,2,7,40,-.181,-.143,.018,-.114,-.292,-.148,-.149,-.129,-.259,-.191,-.286
2020,6,12,40,-.0848,-.0904,.176,-.0914,-.192,.262,.211,.0116,-.128,-.163,-.3
2020,1,24,40,-.0427,-.127,-.1,-.131,-.164,.127,-.0389,.058,-.093,-.0752,-.208
2020,4,24,40,-.372,-.464,-.369,-.233,-.368,-.506,-.497,-.421,-.409,-.283,-.27
2020,1,31,40,-.0655,.0733,-.0741,.0815,.019,-.151,-.346,-.145,-.0226,.0418,-.073
2020,3,6,40,-.0913,-.117,-.00802,-.0801,-.109,-.175,-.0716,-.0882,-.214,-.0614,.0344
2020,6,5,40,-.014,-.127,.21,-.142,.0566,.138,.28,.0521,-.047,-.113,-.0321
2020,5,8,40,-.397,-.466,-.399,-.485,-.434,-.505,-.28,-.309,-.447,-.479,-.451
2020,2,14,40,.00947,.176,.265,-.0872,-.082,.106,.235,-.0206,-.0876,.155,-.126
2020,5,22,40,-.296,-.481,-.281,-.362,-.262,-.364,-.301,-.297,-.274,-.357,-.251
2020,4,17,40,-.25,-.487,-.317,-.368,-.277,-.506,-.395,-.0968,-.34,-.374,-.289
2020,3,20,40,.0181,.0167,.257,-.0532,-.0224,-.00209,.17,-.00265,-.0682,.0584,-.0185
2020,4,17,41,-.125,-.393,-.223,-.297,-.221,-.255,.329,-.0483,-.148,-.256,-.148
2020,2,14,41,.167,.213,.146,.0119,.247,.293,.0766,.13,.204,.146,.222
2020,1,10,41,-.0452,.0308,-.112,-.185,-.0803,.0712,.275,-.0186,-.0719,-.0646,-.138
2020,4,3,41,-.227,-.331,-.379,-.362,-.191,-.619,-.329,-.0753,-.208,-.362,-.318
2020,5,22,41,-.352,-.383,-.385,-.324,-.335,-.501,-.159,-.306,-.332,-.423,-.303
2020,6,12,41,-.114,-.183,-.159,-.253,-.213,-.262,-.184,.194,-.193,-.264,-.285
2020,2,7,41,-.159,-.195,-.188,-.211,-.0553,.00684,.143,-.199,-.197,-.181,-.0567
2020,3,27,41,.151,-.0966,-.0237,-.143,.252,-.226,.18,.34,.157,-.0446,.185
2020,3,20,41,.00293,-.03,-.025,-.0619,.0428,-.117,.089,-.0111,.0158,-.00207,-.101
2020,5,15,41,-.355,-.483,-.286,-.421,-.315,-.635,-.466,-.285,-.352,-.444,-.288
2020,4,24,41,-.273,-.474,-.426,-.354,-.286,-.643,-.503,-.239,-.277,-.338,-.205
2020,1,31,41,.00542,.0076,.0835,.3,-.0259,-.0623,-.217,-.074,-.0411,.149,-.0428
2020,3,6,41,.0784,-.0416,.0342,-.000728,.133,.288,.333,.14,.0457,.00829,.096
2020,1,17,41,.209,.0713,.192,.0459,.319,.145,.159,.242,.287,.067,.405
2020,1,24,41,-.169,-.11,-.163,-.161,-.213,-.154,-.217,-.149,-.174,-.152,-.223
2020,5,29,41,-.295,-.304,-.216,-.397,-.445,-.386,-.379,-.111,-.331,-.377,-.47
2020,5,1,41,-.319,-.419,-.442,-.473,-.335,-.485,-.449,-.193,-.336,-.406,-.214
2020,2,21,41,.0792,.000362,.0268,-.0852,.112,.119,.23,.0868,.154,-.00415,.123
2020,2,28,41,.0753,-.00832,.17,-.0687,.145,.139,.251,.0268,.0556,.0636,.272
2020,5,8,41,-.407,-.385,-.376,-.512,-.396,-.662,-.42,-.355,-.391,-.473,-.359
2020,4,10,41,-.188,-.337,-.329,-.41,-.181,-.661,-.234,-.0934,-.17,-.296,-.182
2020,3,13,41,.00074,.11,-.0422,-.183,.0148,.0149,.23,-.0221,.000904,-.0563,.0218
2020,6,5,41,-.0293,-.347,-.0435,-.19,.063,-.242,.317,-.0399,.0995,-.153,.0282
2020,3,13,42,-.118,-.071,-.0553,-.143,-.201,.103,.129,-.178,-.156,-.0564,-.159
2020,2,7,42,-.221,-.165,-.153,-.205,-.261,-.0995,-.0469,-.244,-.26,-.175,-.27
2020,2,14,42,.116,.19,.121,-.00183,.122,.181,.285,.0685,.122,.134,.0846
2020,5,22,42,-.372,-.318,-.444,-.428,-.388,-.557,-.379,-.289,-.4,-.466,-.387
2020,1,24,42,-.0914,-.0852,-.105,-.096,-.144,.104,-.0149,-.0411,-.142,-.111,-.163
2020,1,17,42,.105,.0839,.12,.14,.168,.0845,.0971,.0979,.169,.0529,.139
2020,4,10,42,-.358,-.311,-.133,-.457,-.315,-.611,-.475,-.326,-.351,-.392,-.388
2020,5,15,42,-.398,-.436,-.516,-.568,-.337,-.63,-.418,-.318,-.457,-.511,-.288
2020,1,31,42,-.043,.00848,-.0231,.0758,-.0499,-.234,-.195,-.11,-.0588,.0713,-.0465
2020,4,17,42,-.233,-.411,.0439,-.382,-.293,-.4,-.0193,-.0455,-.295,-.395,-.253
2020,6,5,42,-.165,-.101,-.217,-.261,-.181,-.339,-.0513,-.073,-.197,-.233,-.16
2020,2,28,42,.145,.198,.104,.079,.23,.174,.327,.0693,.15,.0787,.412
2020,4,24,42,-.292,-.393,-.171,-.416,-.195,-.595,-.453,-.212,-.275,-.399,-.236
2020,3,6,42,-.102,.0227,-.0326,-.0667,-.147,-.0343,.0826,-.15,-.14,-.0509,-.144
2020,1,10,42,.0296,-.00721,.00796,-.12,.0263,.0459,.113,.0532,.0318,-.0129,.0705
2020,2,21,42,.135,.196,.526,-.114,.168,-.0699,-.0644,.148,.216,.0934,.0694
2020,5,29,42,-.407,-.373,-.484,-.518,-.433,-.415,-.29,-.302,-.437,-.478,-.511
2020,4,3,42,-.185,-.243,-.307,-.192,-.0431,-.659,-.396,-.198,-.205,-.162,-.118
2020,6,12,42,-.241,-.174,-.227,-.332,-.275,-.339,-.255,-.134,-.236,-.32,-.373
2020,5,1,42,-.26,-.388,-.446,-.544,-.387,-.578,-.0455,-.0378,-.419,-.341,-.408
2020,5,8,42,-.381,-.309,-.526,-.56,-.355,-.496,-.352,-.256,-.424,-.494,-.379
2020,3,27,42,-.0786,-.124,-.205,-.17,.0134,-.252,-.117,-.0667,-.145,-.0556,-.0725
2020,3,20,42,-.0814,-.114,-.104,-.163,-.0541,-.135,.0302,-.111,-.0858,-.0626,-.107
2020,4,17,44,-.0384,-.0345,-.368,-.0461,-.143,-.23,.369,.157,-.16,-.0882,-.204
2020,3,20,44,-.158,-.181,-.0627,-.0665,-.292,-.127,-.279,-.132,-.256,-.153,-.149
2020,6,12,44,-.0669,-.0172,-.241,-.14,-.287,.0848,-.171,.301,-.153,-.259,-.36
2020,2,28,44,.083,.267,.00999,.146,-.0843,-.0121,.0991,-.0854,.169,.176,.0105
2020,5,8,44,-.182,-.181,-.346,-.312,-.295,-.636,.027,.036,-.158,-.356,-.389
2020,5,15,44,-.223,-.431,-.361,-.238,-.182,-.309,.117,-.00212,-.125,-.455,-.364
2020,1,10,44,.0501,-.0172,.199,-.0461,.0137,.0545,.207,.0515,.0295,-.0182,.124
2020,1,17,44,.132,.0431,.0936,.0686,.271,.158,.153,.102,.144,.133,.221
