year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,3,6,36,-.0625,-.094,-.0244,-.0283,.27,-.0479,-.0108
2020,3,6,37,-.0825,-.181,-.0453,-.164,.0731,-.13,-.347
2020,3,6,38,-.1,-.071,-.0541,.0333,.0951,.0103,-.238
2020,3,6,39,-.0452,-.214,-.0385,-.0653,.164,-.0277,-.229
2020,3,6,40,-.112,-.0799,.00813,.0809,.0803,.0234,-.0721
2020,3,6,41,-.0618,-.179,.0101,.0147,.208,.0388,-.151
2020,3,6,42,-.0326,-.13,-.019,.0247,.149,-.0203,-.215
2020,3,6,43,-.0458,-.0309,-.0386,-.0443,.0868,-.041,-.102
2020,3,6,44,-.281,.684,.0974,.144,.0223,.628,.0349
2020,3,6,45,-.032,.0748,.0234,-.219,.0797,.345,-.308
2020,3,6,46,-.12,.0408,.0568,-.00756,.121,-.0581,-.0105
2020,3,6,47,-.023,.0658,-.00507,.0619,.119,.0317,-.198
2020,3,6,48,-.0452,-.0959,-.036,.0178,.0914,-.0697,-.221
2020,3,6,49,-.14,-.157,-.0346,-.0492,.172,-.023,-.246
2020,3,6,50,-.00816,-.0833,.00429,-.164,.318,.0414,-.16
2020,3,6,51,-.0247,-.154,-.0262,.00899,.0685,.113,-.236
2020,3,6,52,-.155,-.0117,-.0316,-.0333,.231,.0144,-.184
2020,3,6,53,.0647,-.174,.0211,.188,.0321,-.108,-.157
2020,3,7,1,-.0279,-.0625,.021,-.0421,.232,.059,-.0755
2020,3,7,2,-.0512,-.103,.0108,-.0496,.171,.0182,-.136
2020,3,7,3,-.0816,-.076,-.0768,-.141,.0627,-.0561,-.159
2020,3,7,4,-.0103,.000738,-.00125,-.00192,.216,-.0781,-.156
2020,3,7,5,-.0707,-.173,-.00211,-.0159,.152,.0151,-.129
2020,3,7,6,-.0737,-.191,-.0308,-.0345,.193,.0529,-.0623
2020,3,7,7,-.0564,-.0124,.0335,-.0339,.182,.0276,-.0646
2020,3,7,8,-.0446,.217,.00991,-.0694,.366,.0186,-.171
