year,month,day_endofweek,countyfips,spend_all
2020,1,12,20113,.0344
2020,1,12,20123,-.0134
2020,1,12,20125,.0244
2020,1,12,20139,.0169
2020,1,12,20149,-.00612
2020,1,12,20151,-.109
2020,1,12,20153,-.049
2020,1,12,20155,-.0528
2020,1,12,20161,.052
2020,1,12,20169,.0313
2020,1,12,20173,.00777
2020,1,12,20175,.081
2020,1,12,20177,-.0618
2020,1,12,20193,.106
2020,1,12,20209,-.0438
2020,1,12,21005,-.0696
2020,1,12,21015,.0459
2020,1,12,21017,-.00767
2020,1,12,21019,-.048
2020,1,12,21027,-.00375
2020,1,12,21029,.058
2020,1,12,21033,-.0634
2020,1,12,21037,.0183
2020,1,12,21043,.0669
2020,1,12,21047,-.00988
2020,1,12,21049,.022
2020,1,12,21059,-.0119
2020,1,12,21063,-.0312
2020,1,12,21067,-.0288
2020,1,12,21069,-.0251
2020,1,12,21073,-.0415
2020,1,12,21079,-.00981
2020,1,12,21081,-.00342
2020,1,12,21089,.205
2020,1,12,21091,.0401
2020,1,12,21093,.0177
2020,1,12,21097,.0259
2020,1,12,21101,-.0542
2020,1,12,21107,-.0295
2020,1,12,21109,.0442
2020,1,12,21111,-.0126
2020,1,12,21113,.0215
2020,1,12,21117,-.0128
2020,1,12,21125,.00437
2020,1,12,21151,.0327
2020,1,12,21167,-.00299
2020,1,12,21173,.195
2020,1,12,21179,-.000215
2020,1,12,21181,.0222
2020,1,12,21183,.1
2020,1,12,21185,.00965
2020,1,12,21199,-.0181
2020,1,12,21205,.034
2020,1,12,21209,.0202
2020,1,12,21211,.345
2020,1,12,21219,-.0148
2020,1,12,21221,.0235
2020,1,12,21225,.0223
2020,1,12,21227,.0109
2020,1,12,21229,.0386
2020,1,12,21233,.0288
2020,1,12,21239,-.0719
2020,1,12,22001,-.0859
2020,1,12,22003,-.0293
2020,1,12,22005,-.0598
2020,1,12,22007,.0587
2020,1,12,22011,.00481
2020,1,12,22015,.101
2020,1,12,22017,-.00679
2020,1,12,22019,.0144
2020,1,12,22025,.201
2020,1,12,22031,-.0752
2020,1,12,22033,-.0225
2020,1,12,22037,-.0832
2020,1,12,22039,.0283
2020,1,12,22043,.0265
2020,1,12,22045,.0523
2020,1,12,22051,-.0202
2020,1,12,22055,-.0103
2020,1,12,22057,.0229
2020,1,12,22059,-.027
2020,1,12,22063,.0285
2020,1,12,22069,-.00254
2020,1,12,22071,-.00246
2020,1,12,22073,-.0265
2020,1,12,22079,.0202
2020,1,12,22089,.0685
