statefips,year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
5,2021,9,3,.0211,.,.,.,.,.,0,-.0885,-.0951,.177,.0341,.0847,-.372
5,2021,9,10,.203,.,.,.,.,.,.0328,.178,.189,.0783,.178,.476,-.0757
5,2021,9,17,-.0465,.,.,.,.,.,.0656,-.0242,-.0309,-.116,-.104,.122,-.443
5,2021,9,24,.562,-.0432,.301,.427,-.297,-.141,-.172,1.02,1.11,-.00133,.263,1,-.334
5,2021,10,1,-.077,.174,.585,-.129,-.275,-.0447,-.172,-.161,-.161,-.0402,-.0452,.128,-.336
5,2021,10,8,.265,.431,.726,.211,-.107,.281,.123,.371,.39,.0597,.166,.445,-.0416
5,2021,10,15,.204,.203,.556,.266,-.0208,.242,.0984,.257,.269,.141,.126,.344,-.26
5,2021,10,22,.172,.214,.84,.17,.31,.263,-.082,-.0117,-.00642,.697,.31,.186,-.364
5,2021,10,29,-.132,.707,.0375,.262,-.431,-.231,-.32,-.0834,-.0658,-.21,-.192,.0127,-.483
5,2021,11,5,-.114,-.198,.418,-.129,-.306,-.0948,-.148,-.178,-.181,-.0747,-.085,.0413,-.312
5,2021,11,12,.016,-.0506,.617,.31,-.082,-.0626,-.27,-.0794,-.0652,-.13,.0394,.4,-.158
5,2021,11,19,.821,.95,1.57,1.5,.428,.428,.156,.814,.864,.792,.788,1.01,.428
5,2021,11,26,.278,.59,.775,.455,.149,.335,.246,.16,.153,.486,.34,.368,-.0356
5,2021,12,3,.546,.586,.86,.702,.205,.664,.172,.486,.509,.37,.561,.926,.406
5,2021,12,10,.186,.317,.69,.389,.138,.059,-.139,.0999,.118,.169,.205,.499,-.188
5,2021,12,17,.639,.38,.876,.863,.561,.431,.205,.607,.637,.764,.656,.877,.0566
5,2021,12,24,.225,.476,.601,.324,-.149,.352,.459,.229,.212,.088,.194,.592,-.208
5,2021,12,31,.0823,.0745,.171,.286,-.0783,.259,.107,.171,.175,.151,.0136,-.0171,-.248
5,2022,1,7,.222,.402,.313,.221,-.135,.478,.418,.312,.304,.26,.165,.296,-.26
5,2022,1,14,-.0103,.347,.544,.345,-.339,-.123,-.0738,-.217,-.227,-.118,.0961,.616,-.258
5,2022,1,21,.392,.741,.872,.441,.0707,.22,-.156,.309,.344,.452,.434,.759,-.13
5,2022,1,28,.426,.358,.747,1.28,.275,-.174,-.082,.149,.167,.501,.538,.906,.0286
5,2022,2,4,.362,.417,.961,1.16,.0745,.0948,.189,.0885,.0811,.379,.486,.896,.0667
5,2022,2,11,.29,.527,1.88,.575,-.0412,.274,.0492,.0658,.067,.104,.377,1.04,-.0757
5,2022,2,18,.277,.476,.694,.29,.213,.878,.336,.255,.249,.0517,.252,.744,-.0897
5,2022,2,25,1.14,1.9,1.88,1.5,.511,1.59,1.93,1.43,1.45,.924,1.11,1.38,.923
5,2022,3,4,.899,1.58,1.88,1.5,.341,.678,.803,.371,.339,.431,1.11,1.38,.482
5,2022,3,11,.865,1.9,1.88,1.5,.479,.034,.434,.229,.213,.674,1.11,1.38,.486
5,2022,3,18,.75,1.45,1.84,1.5,.353,.41,.172,.173,.173,.547,1.06,1.38,.508
6,2021,3,26,.132,.,.,.,.,.,.247,.273,.276,.159,.0668,-.00626,.109
6,2021,4,2,-.0249,.,.,.,.,.,.0808,.131,.136,.0297,-.0872,-.165,-.0828
6,2021,4,9,-.0832,.,.,.,.,.,-.00288,.102,.111,-.0573,-.163,-.242,-.127
6,2021,4,16,.178,.,.,.,.,.,.421,.424,.424,.214,.0748,-.00904,.0475
6,2021,4,23,.0939,.,.,.,.,.,.342,.299,.295,.126,.0137,-.0835,.0934
6,2021,4,30,.121,.,.,.,.,.,.163,.257,.266,.185,.0662,-.0234,.105
6,2021,5,7,.0969,.,.,.,.,.,.0499,.172,.183,.134,.0666,.0107,.107
6,2021,5,14,.182,.,.,.,.,.,.409,.426,.427,.248,.0725,-.037,.052
6,2021,5,21,-.0251,.,.,.,.,.,.315,.208,.198,.0113,-.127,-.221,-.114
6,2021,5,28,.161,.,.,.,.,.,.497,.339,.324,.302,.102,-.029,.101
6,2021,6,4,.00401,.,.,.,.,.,.398,.215,.199,.00778,-.0807,-.138,-.0843
6,2021,6,11,.221,.,.,.,.,.,.485,.476,.475,.204,.113,.0807,.0171
6,2021,6,18,-.0678,.,.,.,.,.,.154,.147,.146,-.0437,-.157,-.228,-.17
6,2021,6,25,-.0386,.,.,.,.,.,.0655,.144,.151,-.0104,-.112,-.175,-.124
6,2021,7,2,-.0464,.,.,.,.,.,.141,.0964,.0923,.0142,-.106,-.178,-.127
6,2021,7,9,-.111,.,.,.,.,.,-.0572,.0147,.0213,-.106,-.161,-.195,-.168
6,2021,7,16,.0746,.,.,.,.,.,.449,.274,.259,.105,-.00658,-.0492,-.111
6,2021,7,23,.0516,.,.,.,.,.,.317,.212,.203,.133,-.0155,-.102,-.0527
6,2021,7,30,-.0249,.,.,.,.,.,.14,.0355,.026,.107,-.0376,-.112,-.11
6,2021,8,6,.076,.,.,.,.,.,.887,.323,.271,.0897,-.0246,-.109,.0068
6,2021,8,13,-.051,.,.,.,.,.,.0867,.125,.129,-.0145,-.122,-.169,-.205
6,2021,8,20,-.0422,.,.,.,.,.,.153,.0775,.0707,-.00449,-.0935,-.147,-.111
6,2021,8,27,.0819,.,.,.,.,.,.164,.306,.319,.106,-.0243,-.0941,-.0772
6,2021,9,3,-.0626,.,.,.,.,.,.193,.139,.134,-.0325,-.153,-.215,-.213
6,2021,9,10,-.0751,.,.,.,.,.,.245,.266,.268,-.0882,-.217,-.298,-.233
6,2021,9,17,-.0166,.,.,.,.,.,.211,.2,.199,-.00789,-.126,-.185,-.188
6,2021,9,24,-.0938,-.131,-.126,-.317,-.174,-.153,.0596,.144,.151,-.116,-.217,-.262,-.289
6,2021,10,1,-.124,-.0469,-.15,-.366,-.144,-.158,-.0315,.0206,.0253,-.133,-.199,-.245,-.188
6,2021,10,8,-.0241,.0478,.0591,-.286,-.107,.0172,.143,.211,.217,-.0434,-.131,-.171,-.191
6,2021,10,15,.000484,.178,.0928,-.296,-.0747,-.00384,.1,.194,.202,.0455,-.0947,-.174,-.139
6,2021,10,22,-.0104,.0978,-.0103,-.282,-.0883,-.0204,.111,.193,.2,.0374,-.102,-.178,-.158
6,2021,10,29,-.073,-.0602,-.177,-.232,-.132,.0123,.148,.119,.116,-.0484,-.155,-.2,-.239
6,2021,11,5,-.122,.0795,-.101,-.328,-.227,-.0499,.11,.0232,.0152,-.0988,-.185,-.222,-.252
6,2021,11,12,-.0435,-.0204,-.0811,-.308,-.059,.12,.2,.166,.163,.00377,-.137,-.23,-.136
6,2021,11,19,.0644,.148,.0391,-.181,.035,.239,.403,.264,.251,.101,-.0197,-.101,-.0123
6,2021,11,26,.178,.375,-.00268,-.053,.282,.138,.103,.238,.25,.211,.149,.0849,.231
6,2021,12,3,.0794,.0663,-.0581,-.167,.164,.242,.374,.219,.205,.0864,.0163,-.0784,.181
6,2021,12,10,.105,.238,.0426,-.154,.121,.0584,.128,.265,.278,.173,.0361,-.0598,.0569
6,2021,12,17,.146,.166,.045,-.102,.113,.162,.359,.277,.27,.221,.0927,.0258,.0338
6,2021,12,24,.0118,.117,.0413,-.168,.00672,.0562,.0778,.134,.139,.0579,-.044,-.119,-.0174
6,2021,12,31,-.25,-.286,-.337,-.446,-.198,-.113,-.133,-.0743,-.069,-.191,-.315,-.407,-.279
6,2022,1,7,-.0519,-.128,-.219,-.294,-.0372,.116,.316,.163,.149,.0421,-.138,-.252,-.153
6,2022,1,14,.0608,.312,.128,-.122,-.013,-.0791,.0901,.128,.131,.11,.0272,-.0116,-.0259
6,2022,1,21,-.00599,.145,-.0743,-.225,-.0752,-.0197,.057,.11,.114,.0831,-.0528,-.124,-.114
6,2022,1,28,.185,.426,.232,-.0592,.16,.00781,.0176,.181,.196,.293,.194,.135,.169
6,2022,2,4,.567,.831,.468,.251,.823,.7,.833,.734,.725,.585,.509,.352,.871
6,2022,2,11,.377,.621,.346,.0765,.346,.274,.304,.491,.508,.395,.331,.286,.339
6,2022,2,18,.117,.618,.0906,-.152,.146,.125,.247,.225,.223,.132,.0653,.0313,.0319
6,2022,2,25,.306,.779,.226,.0565,.256,.345,.47,.407,.401,.363,.264,.223,.182
6,2022,3,4,.329,.552,.177,.0249,.37,.55,.819,.59,.569,.37,.226,.122,.255
6,2022,3,11,.465,.766,.336,.145,.539,.392,.675,.627,.623,.547,.402,.316,.372
6,2022,3,18,.251,.42,.137,-.0672,.322,.327,.329,.398,.404,.373,.192,.0576,.245
