year,month,day,statefips,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,3,6,25,-.0154,.0332,-.0016,-.00667,-.0635
2020,3,6,26,-.0478,.0498,-.0184,-.1,-.0359
2020,3,6,27,.0173,.11,-.0116,-.0429,-.000423
2020,3,6,28,-.141,-.139,-.00352,-.224,-.114
2020,3,6,29,-.048,.0333,-.14,-.0343,-.0583
2020,3,6,30,-.00172,.0464,.0659,-.0652,.00802
2020,3,6,31,.00629,.0618,-.073,.00664,-.0164
2020,3,6,32,-.0404,-.0744,.0415,-.0512,-.0182
2020,3,6,33,.00785,.0611,.0232,.0524,-.0388
2020,3,6,34,-.0323,.0168,.000997,-.0966,-.06
2020,3,6,35,-.0195,.0361,.00318,-.049,-.0532
2020,3,6,36,-.0425,-.000978,-.0345,-.0126,-.07
2020,3,6,37,-.0429,-.0364,-.0876,-.0126,-.0409
2020,3,6,38,.0182,.124,-.0184,.0648,-.0538
2020,3,6,39,-.0457,-.0368,.0259,-.0122,-.0935
2020,3,6,40,-.0139,.000298,-.0717,-.00335,.0258
2020,3,6,41,-.025,.0453,-.117,-.0523,.0454
2020,3,6,42,-.0371,-.039,-.077,.046,-.0365
2020,3,6,44,.017,.136,.16,-.0293,-.0309
2020,3,6,45,-.0662,-.06,-.151,-.0282,-.0409
2020,3,6,46,.0572,.0619,.,-.0165,.0287
2020,3,6,47,-.116,-.0935,-.156,-.0997,-.118
2020,3,6,48,-.0147,-.00154,-.0726,.0341,-.0489
2020,3,6,49,-.053,-.0347,-.0622,-.0755,-.0286
2020,3,6,50,-.103,-.063,-.231,-.0387,-.0598
2020,3,6,51,-.0504,-.0277,-.0184,-.0944,-.0549
2020,3,6,53,-.046,.0472,-.138,-.0572,-.0669
2020,3,6,54,-.0935,-.0932,-.0693,.113,-.0888
2020,3,6,55,-.0529,-.039,.00139,-.0635,-.0435
2020,3,6,56,-.0991,-.0381,-.222,-.24,-.048
2020,3,7,1,-.114,-.186,-.0485,.00545,-.148
2020,3,7,2,-.0721,-.0494,-.0505,-.159,-.07
2020,3,7,4,-.053,-.02,-.0754,.00625,-.131
2020,3,7,5,-.0461,-.0202,-.0725,-.00487,-.0535
2020,3,7,6,-.0167,.00543,.0189,.0289,-.0916
2020,3,7,8,.00306,.0248,-.0269,.00281,-.0097
2020,3,7,9,-.0124,.0735,-.164,.0275,-.0767
2020,3,7,10,-.0879,-.0634,-.11,-.0328,-.14
2020,3,7,11,-.155,-.0359,-.0467,-.179,-.0629
2020,3,7,12,-.0603,-.0562,.00452,-.0375,-.106
2020,3,7,13,-.0718,-.107,-.0539,-.0158,-.0603
2020,3,7,15,-.134,-.0871,-.396,.168,-.152
2020,3,7,16,-.0486,-.00503,-.197,-.0207,-.0352
2020,3,7,17,-.0536,-.0358,-.0495,-.0549,-.059
2020,3,7,18,-.1,-.0778,-.0672,-.183,-.109
2020,3,7,19,.00244,.02,.0172,-.0767,.0115
2020,3,7,20,-.0396,-.0565,-.101,.0787,-.0141
2020,3,7,21,-.0723,-.0375,-.0894,-.0639,-.066
2020,3,7,22,-.0951,-.126,.0931,.11,-.225
2020,3,7,23,-.228,-.263,-.271,-.266,-.207
2020,3,7,24,-.0709,-.0268,-.0671,-.0861,-.061
2020,3,7,25,-.0189,.0162,-.00777,.0359,-.0594
2020,3,7,26,-.0415,.0482,.024,-.0833,-.0431
2020,3,7,27,.0226,.113,.0471,-.0714,-.00315
2020,3,7,28,-.142,-.161,-.0143,-.217,-.129
2020,3,7,29,-.0368,.0173,-.0866,-.0168,-.0654
2020,3,7,30,.00476,.0593,.00456,-.0162,-.0159
2020,3,7,31,.0392,.0961,-.0353,.0655,-.0167
2020,3,7,32,-.0373,-.0841,.0669,-.0438,-.0137
2020,3,7,33,-.00246,.0121,.0824,.0453,-.048
2020,3,7,34,-.031,.00393,.00117,-.0728,-.0545
2020,3,7,35,-.0183,.00202,.0683,-.0511,-.042
2020,3,7,36,-.0435,-.0166,-.0189,-.0073,-.0718
2020,3,7,37,-.0423,-.0418,-.0767,-.00405,-.057
2020,3,7,38,.0204,.11,-.0355,.049,-.0578
2020,3,7,39,-.0394,-.0397,.0406,.000814,-.0884
2020,3,7,40,-.0219,-.0378,-.038,.0223,-.00222
2020,3,7,41,-.0151,.0436,-.0847,-.0123,.0479
2020,3,7,42,-.0281,-.0374,-.059,.0675,-.0379
2020,3,7,44,-.0122,.0724,.18,-.0321,-.0516
2020,3,7,45,-.0621,-.0679,-.119,-.00917,-.0499
2020,3,7,46,.0802,.0381,.,.0812,.0246
2020,3,7,47,-.117,-.114,-.129,-.0927,-.125
2020,3,7,48,-.019,-.0134,-.062,.0542,-.0617
2020,3,7,49,-.051,-.0504,-.0413,-.0646,-.0351
2020,3,7,50,-.114,-.0813,-.181,-.0726,-.0743
2020,3,7,51,-.0453,-.0344,-.0142,-.0681,-.0524
2020,3,7,53,-.0486,.0397,-.12,-.0596,-.0758
2020,3,7,54,-.0756,-.102,-.0251,.135,-.082
2020,3,7,55,-.0327,-.0283,.0593,-.0306,-.0489
2020,3,7,56,-.0887,-.0334,-.184,-.193,-.076
2020,3,8,1,-.074,-.166,-.0363,.0752,-.141
2020,3,8,2,-.00424,-.0168,-.0701,.414,-.0604
2020,3,8,4,-.0205,-.0118,-.0658,.0842,-.118
2020,3,8,5,.0347,.0077,-.0179,.0472,-.0494
2020,3,8,6,.0115,.000169,.0464,.148,-.077
2020,3,8,8,.0517,.0477,-.0131,.101,.0661
2020,3,8,9,.0114,.0794,-.129,.127,-.0644
2020,3,8,10,-.0914,-.0439,-.157,-.00857,-.107
2020,3,8,11,-.109,.0177,-.104,-.0949,-.0622
2020,3,8,12,-.0454,-.0609,.00309,.0458,-.101
2020,3,8,13,-.0499,-.104,-.0156,.0463,-.0563
2020,3,8,15,-.119,-.0655,-.387,.19,-.135
2020,3,8,16,-.0181,-.00335,-.173,.0521,-.0192
2020,3,8,17,-.0236,-.0295,-.0579,.0698,-.04
2020,3,8,18,-.0635,-.0552,-.0231,-.136,-.0916
2020,3,8,19,.0479,.0315,.0577,.0431,.0286
2020,3,8,20,.0000302,-.036,-.0774,.129,.0341
2020,3,8,21,-.0108,-.0169,.00971,-.0237,-.0508
2020,3,8,22,-.0555,-.0957,.116,.237,-.208
2020,3,8,23,-.201,-.248,-.249,-.258,-.161
2020,3,8,24,-.0569,-.022,-.0699,-.0219,-.077
2020,3,8,25,.00545,.03,-.0268,.126,-.042
2020,3,8,26,.0129,.0631,.0654,-.00539,-.0252
2020,3,8,27,.0235,.0886,-.00219,-.00092,-.0146
2020,3,8,28,-.072,-.131,-.0296,-.177,-.127
2020,3,8,29,.0371,.0554,.00451,.0943,-.0306
2020,3,8,30,.0106,.0536,-.00452,.0907,-.0546
2020,3,8,31,.0674,.0836,.0571,.0666,.00349
