day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
22,6,2020,.146,.24,.206,.156,.0703
23,6,2020,.196,.291,.249,.207,.123
24,6,2020,.155,.256,.21,.161,.0819
25,6,2020,.173,.304,.247,.175,.0819
26,6,2020,.293,.452,.385,.3,.18
27,6,2020,.0711,.198,.14,.0801,-.0142
28,6,2020,-.159,-.0924,-.117,-.148,-.212
29,6,2020,.202,.309,.266,.208,.121
30,6,2020,.33,.449,.384,.33,.26
1,7,2020,.494,.622,.552,.501,.421
2,7,2020,.411,.61,.5,.417,.292
3,7,2020,.344,.587,.447,.339,.212
4,7,2020,-.222,-.0641,-.161,-.228,-.313
5,7,2020,-.26,-.184,-.224,-.256,-.311
6,7,2020,.199,.312,.267,.202,.117
7,7,2020,.232,.335,.288,.232,.162
8,7,2020,.208,.325,.27,.211,.128
9,7,2020,.23,.372,.309,.23,.137
10,7,2020,.329,.517,.428,.334,.204
11,7,2020,.0722,.2,.136,.0813,-.0126
12,7,2020,-.166,-.111,-.131,-.156,-.212
13,7,2020,.198,.289,.249,.204,.129
14,7,2020,.243,.313,.295,.259,.173
15,7,2020,.327,.396,.38,.337,.267
16,7,2020,.288,.414,.356,.294,.203
17,7,2020,.321,.512,.409,.325,.203
18,7,2020,.0465,.195,.12,.0519,-.0476
19,7,2020,-.177,-.108,-.134,-.167,-.229
20,7,2020,.196,.282,.254,.2,.13
21,7,2020,.208,.296,.262,.217,.135
22,7,2020,.182,.284,.244,.189,.104
23,7,2020,.214,.341,.281,.216,.128
24,7,2020,.312,.498,.416,.311,.19
25,7,2020,.0557,.189,.124,.0632,-.0318
26,7,2020,-.168,-.114,-.13,-.157,-.219
