year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,18,16005,32,.0749
2020,1,18,16007,.,.
2020,1,18,16009,9,.219
2020,1,18,16011,18,.0756
2020,1,18,16013,40,.325
2020,1,18,16015,6,.171
2020,1,18,16017,48,.239
2020,1,18,16019,65,.114
2020,1,18,16021,15,.279
2020,1,18,16023,.,.
2020,1,18,16025,.,.
2020,1,18,16027,113,.108
2020,1,18,16029,7,.169
2020,1,18,16031,13,.106
2020,1,18,16035,7,.241
2020,1,18,16037,.,.
2020,1,18,16039,10,.0866
2020,1,18,16041,.,.
2020,1,18,16043,6,.0762
2020,1,18,16045,.,.
2020,1,18,16047,5,.0608
2020,1,18,16049,9,.137
2020,1,18,16051,14,.0998
2020,1,18,16053,19,.156
2020,1,18,16055,187,.233
2020,1,18,16057,16,.0779
2020,1,18,16059,6,.168
2020,1,18,16061,.,.
2020,1,18,16063,7,.259
2020,1,18,16065,16,.0729
2020,1,18,16067,14,.122
2020,1,18,16069,42,.199
2020,1,18,16071,.,.
2020,1,18,16073,8,.147
2020,1,18,16075,19,.163
2020,1,18,16077,.,.
2020,1,18,16079,16,.311
2020,1,18,16081,5,.0755
2020,1,18,16083,41,.0991
2020,1,18,16085,10,.18
2020,1,18,16087,.,.
2020,1,18,17001,62.3,.192
2020,1,18,17003,5.72,.279
2020,1,18,17005,24.5,.312
2020,1,18,17007,346,1.31
2020,1,18,17009,4.13,.138
2020,1,18,17011,60,.345
2020,1,18,17013,8.26,.353
2020,1,18,17015,19.4,.265
2020,1,18,17017,17.2,.28
2020,1,18,17019,180,.165
2020,1,18,17021,44.5,.304
2020,1,18,17023,17.8,.231
2020,1,18,17025,28,.43
2020,1,18,17027,71.8,.349
2020,1,18,17029,34.9,.146
2020,1,18,17031,5805,.224
2020,1,18,17033,18.1,.208
2020,1,18,17035,17.5,.285
2020,1,18,17037,208,.375
2020,1,18,17039,20,.267
2020,1,18,17041,19.1,.186
2020,1,18,17043,772,.152
2020,1,18,17045,10.5,.116
