cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2,2020,5,5,-.545,-.651,-.724,-.348,-.336,-.756,-.406,-.485,-.621
2,2020,5,6,-.544,-.652,-.721,-.339,-.336,-.754,-.405,-.484,-.62
2,2020,5,7,-.543,-.655,-.721,-.333,-.335,-.75,-.404,-.482,-.619
2,2020,5,8,-.541,-.658,-.719,-.331,-.335,-.747,-.403,-.48,-.618
2,2020,5,9,-.539,-.658,-.717,-.332,-.333,-.742,-.4,-.478,-.616
2,2020,5,10,-.537,-.659,-.717,-.332,-.331,-.738,-.396,-.475,-.614
2,2020,5,11,-.534,-.659,-.714,-.332,-.328,-.736,-.393,-.473,-.612
2,2020,5,12,-.532,-.659,-.711,-.332,-.326,-.735,-.389,-.471,-.61
2,2020,5,13,-.53,-.659,-.709,-.333,-.324,-.733,-.386,-.469,-.609
2,2020,5,14,-.528,-.659,-.707,-.333,-.322,-.731,-.383,-.466,-.607
2,2020,5,15,-.526,-.657,-.706,-.341,-.323,-.728,-.381,-.464,-.606
2,2020,5,16,-.525,-.654,-.705,-.35,-.323,-.725,-.379,-.46,-.605
2,2020,5,17,-.523,-.651,-.704,-.358,-.322,-.727,-.379,-.457,-.604
2,2020,5,18,-.521,-.648,-.703,-.367,-.322,-.726,-.378,-.453,-.603
2,2020,5,19,-.519,-.647,-.701,-.375,-.321,-.724,-.376,-.449,-.602
2,2020,5,20,-.517,-.646,-.7,-.382,-.32,-.72,-.375,-.446,-.6
2,2020,5,21,-.516,-.645,-.699,-.389,-.32,-.717,-.374,-.442,-.599
2,2020,5,22,-.514,-.645,-.697,-.388,-.318,-.711,-.371,-.441,-.597
2,2020,5,23,-.514,-.647,-.699,-.383,-.319,-.708,-.37,-.442,-.597
2,2020,5,24,-.514,-.65,-.699,-.379,-.321,-.702,-.369,-.442,-.597
2,2020,5,25,-.514,-.652,-.703,-.374,-.322,-.7,-.367,-.445,-.598
2,2020,5,26,-.513,-.65,-.697,-.374,-.322,-.698,-.367,-.441,-.597
2,2020,5,27,-.512,-.65,-.696,-.369,-.324,-.695,-.366,-.44,-.597
2,2020,5,28,-.511,-.65,-.696,-.367,-.325,-.692,-.363,-.439,-.596
2,2020,5,29,-.51,-.65,-.694,-.366,-.324,-.69,-.362,-.436,-.596
2,2020,5,30,-.51,-.649,-.69,-.367,-.325,-.688,-.362,-.435,-.596
3,2020,1,1,.,.,.,.,.,.,.,.,.
3,2020,1,2,.,.,.,.,.,.,.,.,.
3,2020,1,3,.,.,.,.,.,.,.,.,.
3,2020,1,4,.,.,.,.,.,.,.,.,.
3,2020,1,5,.,.,.,.,.,.,.,.,.
3,2020,1,6,.,.,.,.,.,.,.,.,.
3,2020,1,7,.,.,.,.,.,.,.,.,.
3,2020,1,8,-.0412,-.0765,.0206,-.042,-.0273,-.0261,-.0544,-.0443,-.0316
3,2020,1,9,-.0409,-.073,.0231,-.0396,-.0296,-.019,-.0538,-.0438,-.0318
3,2020,1,10,-.0403,-.0657,.022,-.0384,-.0298,-.0188,-.0529,-.0431,-.0315
3,2020,1,11,-.0376,-.0603,.0186,-.0357,-.0283,-.0193,-.0493,-.0398,-.03
3,2020,1,12,-.0348,-.0549,.0132,-.0331,-.0269,-.0152,-.0452,-.0366,-.0284
3,2020,1,13,-.0323,-.0496,.00749,-.0304,-.0254,-.0162,-.0423,-.0334,-.0267
3,2020,1,14,-.0296,-.0446,-.002,-.0279,-.0225,-.0164,-.0385,-.0306,-.0246
3,2020,1,15,-.0271,-.0402,-.0107,-.0256,-.0202,-.0171,-.0354,-.0273,-.0231
3,2020,1,16,-.0241,-.0356,-.017,-.0209,-.017,-.0121,-.0315,-.0239,-.0209
3,2020,1,17,-.0218,-.0358,-.022,-.017,-.0153,-.0118,-.0275,-.0212,-.0198
3,2020,1,18,-.0168,-.0321,-.0227,-.0128,-.0119,-.00978,-.0202,-.0168,-.0154
3,2020,1,19,-.0117,-.0284,-.0221,-.00856,-.00843,-.00871,-.0128,-.0121,-.0112
3,2020,1,20,-.00673,-.0246,-.0208,-.00435,-.00499,-.0105,-.00575,-.00741,-.00711
3,2020,1,21,-.0051,-.0235,-.0194,-.00403,-.00302,-.00592,-.00381,-.00573,-.0056
3,2020,1,22,.00164,-.0177,-.0157,.000541,.00171,-.00114,.00497,.000767,.000353
3,2020,1,23,.00814,-.0104,-.0147,.0047,.00651,-.00267,.0134,.00731,.00592
3,2020,1,24,.0157,-.000633,-.0107,.0106,.012,.00595,.0225,.0145,.0129
3,2020,1,25,.0198,.0144,-.00576,.0148,.0148,.0133,.0264,.0196,.0165
3,2020,1,26,.0237,.0294,-.00216,.0189,.0175,.0193,.03,.0245,.02
3,2020,1,27,.0326,.0481,.00315,.0273,.0237,.0233,.0413,.0336,.0276
3,2020,1,28,.0351,.0624,.00631,.0315,.0249,.0247,.0435,.0371,.0296
3,2020,1,29,.0373,.0766,.00738,.0357,.0269,.022,.0459,.04,.0313
3,2020,1,30,.0397,.089,.00941,.0386,.0288,.0263,.0487,.043,.0329
3,2020,1,31,.0415,.0984,.00927,.0406,.0297,.0264,.0509,.045,.0342
3,2020,2,1,.0395,.0922,.00793,.0381,.03,.0313,.0459,.043,.0338
3,2020,2,2,.0369,.0859,.00695,.0357,.0303,.0256,.0407,.0406,.0325
3,2020,2,3,.0345,.0797,.00431,.0333,.0306,.0259,.0353,.0376,.032
3,2020,2,4,.0311,.0731,.00219,.0307,.0287,.024,.029,.034,.0305
3,2020,2,5,.0282,.0664,.00121,.0285,.0271,.0234,.0231,.0304,.0294
3,2020,2,6,.025,.0598,.000313,.0285,.0244,.0194,.0156,.0271,.0286
3,2020,2,7,.0222,.0555,.00267,.0294,.0222,.0179,.00916,.0244,.0278
3,2020,2,8,.0223,.0579,.00519,.0349,.0218,.0128,.00895,.0237,.0288
3,2020,2,9,.0229,.0604,.00705,.0404,.0214,.0152,.00928,.0233,.03
3,2020,2,10,.0234,.0629,.0128,.0459,.021,.0125,.00956,.0233,.031
3,2020,2,11,.0243,.065,.0136,.0511,.0222,.0118,.0107,.023,.0326
3,2020,2,12,.025,.0667,.0144,.0562,.0234,.0117,.0112,.0234,.0336
3,2020,2,13,.0261,.0685,.0199,.0575,.0249,.0148,.0126,.0236,.0349
3,2020,2,14,.0268,.0688,.021,.0597,.026,.0219,.0136,.0229,.0364
3,2020,2,15,.0271,.0684,.0224,.0575,.0254,.0232,.015,.0232,.036
3,2020,2,16,.0276,.068,.0237,.0552,.0248,.0252,.0158,.0238,.036
3,2020,2,17,.0277,.0676,.0224,.053,.0242,.0263,.0168,.0244,.0352
3,2020,2,18,.0292,.069,.0259,.0539,.0263,.0255,.0179,.0261,.0369
3,2020,2,19,.0312,.0702,.0297,.0524,.0268,.0301,.0203,.0278,.0388
3,2020,2,20,.0324,.072,.0268,.0504,.0278,.0304,.0226,.0292,.0394
3,2020,2,21,.0341,.0761,.0279,.0482,.0286,.0285,.0251,.0316,.0402
3,2020,2,22,.0347,.0767,.0246,.0484,.0277,.0337,.0259,.0321,.0408
3,2020,2,23,.0352,.0772,.0222,.0487,.0267,.0373,.0267,.0327,.0412
3,2020,2,24,.0357,.0774,.0165,.0467,.0252,.041,.0281,.0339,.0407
3,2020,2,25,.035,.0773,.0128,.0461,.0223,.0432,.0279,.0329,.04
3,2020,2,26,.0341,.0775,.00927,.0456,.02,.0401,.0273,.0321,.0388
3,2020,2,27,.0339,.0772,.00771,.0462,.0184,.0405,.0272,.0322,.0383
3,2020,2,28,.0329,.0742,.00352,.0447,.0163,.039,.0259,.0311,.0376
3,2020,2,29,.03,.0687,.00207,.0366,.0126,.037,.0209,.0294,.035
3,2020,3,1,.0275,.0631,.00222,.0284,.00897,.0381,.0162,.0279,.0329
3,2020,3,2,.0248,.0576,.00269,.0203,.00533,.0361,.0113,.0262,.0307
3,2020,3,3,.0221,.0521,.002,.0124,.00153,.0363,.00641,.0249,.0281
3,2020,3,4,.0194,.0465,.00039,.00434,-.0021,.0395,.00194,.0238,.0253
3,2020,3,5,.0163,.0403,-.00328,-.00295,-.00574,.0399,-.00233,.0214,.0222
3,2020,3,6,.0136,.0349,-.00414,-.00914,-.00927,.0399,-.00642,.0201,.0192
3,2020,3,7,.0111,.0327,-.00756,-.00882,-.0107,.0414,-.00742,.0184,.0151
3,2020,3,8,.00838,.0305,-.0107,-.00851,-.0122,.0403,-.00868,.016,.0115
3,2020,3,9,.00558,.0283,-.0133,-.0082,-.0136,.0366,-.0097,.0136,.00739
3,2020,3,10,.0028,.026,-.0156,-.0076,-.0152,.0341,-.0111,.0112,.00343
3,2020,3,11,-.000148,.0237,-.0175,-.00701,-.0169,.0285,-.0129,.00918,-.00083
3,2020,3,12,-.00359,.0208,-.0185,-.00631,-.0195,.0237,-.0157,.00671,-.00534
3,2020,3,13,-.00792,.0166,-.0227,-.00659,-.0219,.0149,-.0188,.00292,-.0107
3,2020,3,14,-.0141,.0106,-.0278,-.0111,-.025,.00102,-.0253,-.00346,-.0165
3,2020,3,15,-.0211,.00465,-.0338,-.0156,-.0281,-.023,-.0319,-.0101,-.0238
3,2020,3,16,-.0287,-.00134,-.044,-.0201,-.0311,-.0523,-.0393,-.0167,-.0323
3,2020,3,17,-.0375,-.00736,-.0552,-.0249,-.034,-.102,-.047,-.0248,-.0422
3,2020,3,18,-.0473,-.0135,-.0696,-.0295,-.0369,-.16,-.0548,-.0345,-.0529
3,2020,3,19,-.0576,-.0181,-.084,-.0354,-.0403,-.224,-.0633,-.0443,-.0644
3,2020,3,20,-.069,-.0221,-.0996,-.0411,-.0443,-.301,-.0714,-.0553,-.0778
3,2020,3,21,-.0823,-.029,-.114,-.0484,-.049,-.385,-.0774,-.0685,-.095
3,2020,3,22,-.0938,-.0359,-.125,-.0557,-.0537,-.443,-.0828,-.0803,-.109
3,2020,3,23,-.104,-.0428,-.135,-.063,-.0584,-.479,-.0874,-.0908,-.121
3,2020,3,24,-.113,-.05,-.148,-.0705,-.063,-.503,-.0924,-.101,-.133
3,2020,3,25,-.122,-.0556,-.159,-.0782,-.0673,-.524,-.0973,-.111,-.144
3,2020,3,26,-.131,-.0611,-.17,-.0857,-.0709,-.54,-.102,-.12,-.154
3,2020,3,27,-.14,-.0696,-.184,-.0952,-.0739,-.555,-.107,-.13,-.165
3,2020,3,28,-.154,-.0838,-.201,-.107,-.0795,-.566,-.12,-.142,-.181
3,2020,3,29,-.168,-.098,-.218,-.119,-.0851,-.578,-.134,-.153,-.197
3,2020,3,30,-.182,-.112,-.232,-.131,-.0907,-.588,-.147,-.165,-.213
3,2020,3,31,-.196,-.126,-.244,-.143,-.0965,-.597,-.16,-.176,-.229
3,2020,4,1,-.21,-.143,-.26,-.155,-.103,-.605,-.174,-.188,-.245
3,2020,4,2,-.224,-.16,-.276,-.164,-.109,-.611,-.186,-.2,-.262
3,2020,4,3,-.238,-.175,-.287,-.171,-.118,-.617,-.198,-.211,-.279
3,2020,4,4,-.251,-.186,-.304,-.174,-.127,-.622,-.205,-.221,-.297
3,2020,4,5,-.263,-.198,-.319,-.178,-.137,-.626,-.212,-.231,-.314
3,2020,4,6,-.276,-.209,-.337,-.182,-.146,-.631,-.22,-.241,-.331
3,2020,4,7,-.289,-.22,-.354,-.186,-.156,-.636,-.226,-.251,-.349
3,2020,4,8,-.301,-.23,-.37,-.189,-.165,-.641,-.233,-.261,-.366
3,2020,4,9,-.313,-.24,-.385,-.195,-.174,-.646,-.239,-.27,-.383
3,2020,4,10,-.324,-.253,-.399,-.199,-.181,-.649,-.246,-.279,-.397
