statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
28,2020,5,24,-.356,-.462,-.214,-.363,-.31,-.344,-.359,-.358,-.306
28,2020,5,25,-.359,-.458,-.232,-.366,-.311,-.356,-.362,-.36,-.328
28,2020,5,26,-.356,-.458,-.216,-.366,-.311,-.337,-.358,-.357,-.314
28,2020,5,27,-.355,-.454,-.215,-.369,-.313,-.331,-.357,-.356,-.316
28,2020,5,28,-.354,-.451,-.212,-.372,-.314,-.325,-.357,-.354,-.316
28,2020,5,29,-.352,-.448,-.203,-.374,-.316,-.32,-.356,-.352,-.31
28,2020,5,30,-.353,-.448,-.199,-.385,-.32,-.313,-.358,-.35,-.31
29,2020,1,1,.,.,.,.,.,.,.,.,.
29,2020,1,2,.,.,.,.,.,.,.,.,.
29,2020,1,3,.,.,.,.,.,.,.,.,.
29,2020,1,4,.,.,.,.,.,.,.,.,.
29,2020,1,5,.,.,.,.,.,.,.,.,.
29,2020,1,6,.,.,.,.,.,.,.,.,.
29,2020,1,7,.,.,.,.,.,.,.,.,.
29,2020,1,8,-.0056,-.0415,.0265,-.0222,-.0143,.00886,-.00783,-.00266,-.00993
29,2020,1,9,-.00463,-.0369,.024,-.0193,-.0145,.0133,-.00689,-.00262,-.00635
29,2020,1,10,-.00412,-.032,.0209,-.0127,-.0149,.0114,-.00649,-.00264,-.00418
29,2020,1,11,-.00574,-.0302,.011,-.00679,-.0126,-.00549,-.00641,-.00587,-.00436
29,2020,1,12,-.00587,-.0285,.00851,-.000918,-.0102,-.01,-.00517,-.00713,-.00369
29,2020,1,13,-.00568,-.0267,.00702,.00496,-.00793,-.0107,-.00356,-.00807,-.00262
29,2020,1,14,-.00447,-.025,.00453,.0116,-.00534,-.0123,-.00195,-.007,-.00184
29,2020,1,15,-.00336,-.0239,.0023,.0167,-.00262,-.0104,-.000207,-.00586,-.0019
29,2020,1,16,-.00263,-.0229,-.00106,.0204,.000238,-.0119,.00142,-.00513,-.00275
29,2020,1,17,-.00424,-.0222,-.0147,.0196,.0035,-.0332,.00115,-.00686,-.00659
29,2020,1,18,-.00347,-.0193,-.0109,.0152,.00378,-.0188,.000557,-.005,-.00625
29,2020,1,19,-.00406,-.0165,-.0135,.0108,.00405,-.0164,-.00122,-.00514,-.00603
29,2020,1,20,-.0048,-.0137,-.0147,.00642,.00432,-.0195,-.00272,-.00557,-.00632
29,2020,1,21,-.00318,-.0127,-.014,.00716,.00459,-.0124,-.00128,-.00383,-.00459
29,2020,1,22,-.00274,-.00844,-.0142,.00642,.00487,-.0142,-.00163,-.00349,-.00247
29,2020,1,23,-.00203,-.00387,-.0162,.00716,.00555,-.017,-.00174,-.00246,-.00126
29,2020,1,24,.00109,.00106,-.00838,.0108,.00473,.00292,.00045,.000776,.00329
29,2020,1,25,.00327,.00879,-.00602,.0101,.005,.00955,.00261,.0029,.00544
29,2020,1,26,.00512,.0165,-.00391,.00936,.00527,.0106,.00417,.00499,.00704
29,2020,1,27,.00623,.0271,-.00441,.00422,.00582,.0112,.00428,.00689,.00772
29,2020,1,28,.00647,.0338,-.00429,.00275,.00582,.011,.00485,.00695,.00784
29,2020,1,29,.00667,.0401,-.00466,-.00239,.00609,.00935,.00522,.00735,.00711
29,2020,1,30,.00736,.0461,-.000559,-.00752,.00595,.0139,.00633,.00798,.00747
29,2020,1,31,.00802,.0503,.00342,-.0134,.00636,.0219,.00639,.00915,.00777
29,2020,2,1,.00842,.0478,.0054,-.0207,.00582,.0285,.00569,.0109,.00648
29,2020,2,2,.00823,.0454,.00466,-.0281,.00527,.0297,.00467,.0119,.00417
29,2020,2,3,.00814,.0429,.00416,-.0354,.00473,.0323,.00347,.0127,.00365
29,2020,2,4,.00715,.0405,.00391,-.0435,.00391,.0338,.00213,.0122,.00155
29,2020,2,5,.00444,.0376,-.00702,-.0494,.00255,.0223,-.00142,.0105,-.00253
29,2020,2,6,.00332,.0345,-.00863,-.0552,.00105,.0205,-.00374,.0103,-.00467
29,2020,2,7,.00262,.0306,-.0101,-.0589,-.00017,.0195,-.00542,.0105,-.00624
29,2020,2,8,.00259,.0274,-.012,-.0582,-.000442,.0214,-.00507,.0108,-.00854
29,2020,2,9,.00285,.0243,-.0122,-.0574,-.000714,.0256,-.00446,.0115,-.0104
29,2020,2,10,.00276,.0211,-.0141,-.0567,-.000987,.0264,-.00444,.0121,-.0127
29,2020,2,11,.00342,.0186,-.0173,-.0552,-.000987,.0275,-.00464,.0141,-.0146
29,2020,2,12,.0057,.0165,-.0095,-.0552,-.000851,.0408,-.00261,.0169,-.0139
29,2020,2,13,.00608,.0148,-.0124,-.0552,-.000987,.0425,-.00269,.018,-.015
29,2020,2,14,.00625,.0123,-.0134,-.0545,-.00139,.0491,-.00255,.0189,-.0168
