year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,1,25,8,2164,22738,0,0,0,2164,22738,.0687,.722,0,0,0,.0687,.722
2020,1,25,9,2935,41632,0,0,0,2935,41632,.153,2.18,0,0,0,.153,2.18
2020,1,25,10,674,5703,0,0,0,674,5703,.138,1.17,0,0,0,.138,1.17
2020,1,25,11,534,7149,0,0,0,534,7149,.129,1.72,0,0,0,.129,1.72
2020,1,25,12,5205,33345,0,0,0,5205,33345,.0504,.323,0,0,0,.0504,.323
2020,1,25,13,5257,28998,0,0,0,5257,28998,.103,.567,0,0,0,.103,.567
2020,1,25,15,1014,6407,0,0,0,1014,6407,.152,.963,0,0,0,.152,.963
2020,1,25,16,1821,11833,0,0,0,1821,11833,.206,1.34,0,0,0,.206,1.34
2020,1,25,17,9762,131469,0,0,0,9762,131469,.151,2.04,0,0,0,.151,2.04
2020,1,25,18,2956,21366,0,0,0,2956,21366,.0873,.631,0,0,0,.0873,.631
2020,1,25,19,3115,30360,0,0,0,3115,30360,.179,1.75,0,0,0,.179,1.75
2020,1,25,20,2457,11065,0,0,0,2457,11065,.165,.744,0,0,0,.165,.744
2020,1,25,21,2569,22874,0,0,0,2569,22874,.124,1.1,0,0,0,.124,1.1
2020,1,25,22,1878,15500,0,0,0,1878,15500,.0896,.74,0,0,0,.0896,.74
2020,1,25,23,944,8455,0,0,0,944,8455,.136,1.22,0,0,0,.136,1.22
2020,1,25,24,3283,29216,0,0,0,3283,29216,.101,.896,0,0,0,.101,.896
2020,1,25,25,6017,75499,0,0,0,6017,75499,.158,1.98,0,0,0,.158,1.98
2020,1,25,26,7674,91242,0,0,0,7674,91242,.155,1.85,0,0,0,.155,1.85
2020,1,25,27,3926,61653,0,0,0,3926,61653,.126,1.98,0,0,0,.126,1.98
2020,1,25,28,993,8562,0,0,0,993,8562,.0778,.671,0,0,0,.0778,.671
2020,1,25,29,5420,28715,0,0,0,5420,28715,.176,.931,0,0,0,.176,.931
2020,1,25,30,922,11830,0,0,0,922,11830,.173,2.22,0,0,0,.173,2.22
2020,1,25,31,1051,7091,0,0,0,1051,7091,.102,.685,0,0,0,.102,.685
2020,1,25,32,2101,19025,0,0,0,2101,19025,.136,1.23,0,0,0,.136,1.23
2020,1,25,33,573,4192,0,0,0,573,4192,.0741,.542,0,0,0,.0741,.542
2020,1,25,34,9325,107082,0,0,0,9325,107082,.208,2.38,0,0,0,.208,2.38
2020,1,25,35,764,10137,0,0,0,764,10137,.08,1.06,0,0,0,.08,1.06
2020,1,25,36,14982,163731,0,0,0,14982,163731,.157,1.72,0,0,0,.157,1.72
2020,1,25,37,3344,22415,0,0,0,3344,22415,.0658,.441,0,0,0,.0658,.441
2020,1,25,38,543,7179,0,0,0,543,7179,.135,1.78,0,0,0,.135,1.78
2020,1,25,39,8069,71879,0,0,0,8069,71879,.139,1.24,0,0,0,.139,1.24
2020,1,25,40,1830,17291,0,0,0,1830,17291,.0994,.939,0,0,0,.0994,.939
2020,1,25,41,4424,32228,0,0,0,4424,32228,.21,1.53,0,0,0,.21,1.53
2020,1,25,42,13359,140010,0,0,0,13359,140010,.206,2.16,0,0,0,.206,2.16
