year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,2,7,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,20,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,21,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,22,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,23,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,24,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,25,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,26,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,27,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,28,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,29,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,30,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,31,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,32,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,33,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,34,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,35,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,36,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,37,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,38,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,39,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,40,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,41,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,42,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,1,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,10,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,17,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,20,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,21,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,22,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,23,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,24,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,25,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,26,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,27,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,28,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,29,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,30,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,31,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,32,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,33,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,34,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,35,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,36,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,37,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,38,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,39,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,40,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,41,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,42,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,14,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,1,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,10,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,17,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,20,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,21,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,22,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,23,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,24,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,25,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,26,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,27,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,28,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,29,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,30,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,31,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,32,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,33,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,34,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,35,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,36,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,37,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,38,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,39,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,40,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,41,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,42,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,1,.,.,.,.,.,.,.,.,.,.,.,.,.
