year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,21,36,.000236,.00406,.000114,-.00194
2020,1,21,37,.000194,.,.000999,-.00491
2020,1,21,38,.00335,-.000808,.00763,-.0000907
2020,1,21,39,.00486,.,.00802,-.00164
2020,1,21,40,.000475,-.000724,.,.00107
2020,1,21,41,.00382,.00491,.00441,.00273
2020,1,21,42,.00156,.00286,.00395,-.00267
2020,1,21,43,.00169,-.000999,.000295,.00676
2020,1,21,44,-.000457,.00129,.00082,-.00623
2020,1,21,45,-.000645,.,.,.
2020,1,21,46,-.000811,.,.0016,-.00358
2020,1,21,47,.00495,-.00561,.00889,.00336
2020,1,21,48,.0191,.,.,.
2020,1,21,49,.00333,.00922,-.00157,.
2020,1,21,50,.00453,.00873,.00198,.00509
2020,1,21,51,.,.,.,.
2020,1,21,52,.00446,.00174,.00701,.00269
2020,1,21,53,.000296,.0044,-.000475,-.00237
2020,1,22,1,.00462,-.00501,.00647,.00367
2020,1,22,2,.00396,.00551,.00284,.0052
2020,1,22,3,.00291,.00634,.00283,.000901
2020,1,22,4,.00456,.,.00742,.00166
2020,1,22,5,-.000559,-.0045,.00178,-.00197
2020,1,22,6,.00436,-.0119,.00942,.00317
2020,1,22,7,.00203,.00381,.00459,-.00358
2020,1,22,8,.00245,.,.0036,.00202
2020,1,22,9,.00579,-.0214,.00863,.00363
2020,1,22,10,.00494,.00903,.0054,-.000359
2020,1,22,11,.00111,.00103,.00264,-.0024
2020,1,22,12,.00596,.00847,.00789,.00355
2020,1,22,13,.00551,.,.,.00379
2020,1,22,14,.00407,.0166,.,-.00256
2020,1,22,15,.0024,.00436,.,.0014
2020,1,22,16,.00782,.00759,.,-.0025
2020,1,22,17,.000351,.000705,.00316,-.00554
2020,1,22,18,.00584,-.000632,.00854,.00636
2020,1,22,19,.000507,.,.00357,.
2020,1,22,20,.00519,.0046,.00791,.00014
2020,1,22,21,.00395,-.0043,.00349,.00474
2020,1,22,22,.00592,.00153,.,.
2020,1,22,23,.,.,.,.
2020,1,22,24,.00302,.,.00554,-.00124
2020,1,22,25,.00302,.00196,.00354,.00276
2020,1,22,26,.00403,.00865,.00186,.
2020,1,22,27,.00108,.,.0000406,.00642
2020,1,22,28,.00138,.,.,-.00163
2020,1,22,29,.00326,.00135,.00524,.0016
2020,1,22,30,.00154,.00118,.0033,-.00186
2020,1,22,31,.00325,.00327,.00388,.00176
2020,1,22,32,.00847,.,.00677,-.0000255
2020,1,22,33,.00363,.00027,.00906,-.00745
2020,1,22,34,.00638,-.0059,.,-.000889
2020,1,22,35,.00387,-.015,.00821,.00338
