cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
33,2020,4,28,-.357,-.321,-.289,-.327,-.266,-.513,-.363,-.35,-.34
33,2020,4,29,-.361,-.321,-.291,-.341,-.271,-.513,-.368,-.352,-.34
33,2020,4,30,-.363,-.318,-.291,-.35,-.275,-.507,-.372,-.353,-.342
33,2020,5,1,-.365,-.321,-.294,-.357,-.275,-.502,-.374,-.354,-.345
33,2020,5,2,-.367,-.329,-.293,-.357,-.276,-.494,-.375,-.355,-.355
33,2020,5,3,-.369,-.337,-.293,-.357,-.278,-.488,-.377,-.356,-.364
33,2020,5,4,-.371,-.345,-.292,-.358,-.279,-.484,-.379,-.357,-.374
33,2020,5,5,-.373,-.353,-.292,-.358,-.28,-.473,-.38,-.357,-.383
33,2020,5,6,-.374,-.362,-.291,-.356,-.281,-.465,-.382,-.357,-.393
33,2020,5,7,-.375,-.372,-.289,-.351,-.281,-.458,-.383,-.356,-.401
33,2020,5,8,-.375,-.379,-.285,-.345,-.282,-.453,-.383,-.354,-.407
33,2020,5,9,-.371,-.374,-.277,-.34,-.281,-.446,-.379,-.349,-.402
33,2020,5,10,-.367,-.369,-.271,-.335,-.281,-.433,-.376,-.344,-.397
33,2020,5,11,-.363,-.365,-.262,-.33,-.28,-.418,-.372,-.339,-.393
33,2020,5,12,-.36,-.36,-.255,-.326,-.28,-.416,-.37,-.335,-.39
33,2020,5,13,-.356,-.354,-.246,-.322,-.279,-.41,-.366,-.331,-.386
33,2020,5,14,-.353,-.347,-.235,-.318,-.28,-.404,-.363,-.327,-.384
33,2020,5,15,-.349,-.338,-.225,-.306,-.282,-.392,-.359,-.322,-.382
33,2020,5,16,-.345,-.336,-.222,-.298,-.281,-.379,-.354,-.319,-.382
33,2020,5,17,-.342,-.334,-.221,-.29,-.28,-.373,-.35,-.317,-.384
33,2020,5,18,-.339,-.332,-.219,-.282,-.279,-.37,-.346,-.315,-.385
33,2020,5,19,-.335,-.329,-.216,-.273,-.278,-.36,-.341,-.311,-.385
33,2020,5,20,-.332,-.327,-.215,-.265,-.277,-.351,-.337,-.308,-.386
33,2020,5,21,-.329,-.326,-.221,-.266,-.275,-.345,-.333,-.307,-.388
33,2020,5,22,-.328,-.325,-.229,-.268,-.272,-.338,-.331,-.305,-.388
33,2020,5,23,-.328,-.32,-.231,-.27,-.271,-.338,-.331,-.306,-.39
33,2020,5,24,-.328,-.316,-.233,-.273,-.271,-.336,-.331,-.307,-.393
33,2020,5,25,-.329,-.311,-.236,-.276,-.27,-.339,-.331,-.307,-.397
33,2020,5,26,-.328,-.311,-.232,-.276,-.27,-.336,-.329,-.307,-.396
33,2020,5,27,-.327,-.307,-.228,-.278,-.27,-.334,-.328,-.306,-.397
33,2020,5,28,-.325,-.305,-.22,-.27,-.269,-.332,-.326,-.305,-.396
33,2020,5,29,-.324,-.301,-.212,-.268,-.268,-.333,-.325,-.304,-.396
33,2020,5,30,-.326,-.301,-.206,-.266,-.274,-.335,-.327,-.304,-.399
34,2020,1,1,.,.,.,.,.,.,.,.,.
34,2020,1,2,.,.,.,.,.,.,.,.,.
34,2020,1,3,.,.,.,.,.,.,.,.,.
34,2020,1,4,.,.,.,.,.,.,.,.,.
34,2020,1,5,.,.,.,.,.,.,.,.,.
34,2020,1,6,.,.,.,.,.,.,.,.,.
34,2020,1,7,.,.,.,.,.,.,.,.,.
34,2020,1,8,-.00723,.0467,.0333,-.0514,.00156,-.034,-.00874,-.0162,.0143
34,2020,1,9,-.00614,.0547,.028,-.0586,.00425,-.0172,-.00702,-.0174,.019
34,2020,1,10,-.00785,.0648,.0194,-.0531,-.00241,-.0137,-.00785,-.017,.0108
