year,month,day,statefips,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,17,18,.021793595,.025920209,-.022402572,-.017598456
2020,1,17,19,-.090578228,-.12775332,-.031680848,-.066295967
2020,1,17,20,-.043194517,-.11521941,-.005332144,-.011242645
2020,1,17,21,.020337895,-.018304484,-.010219356,-.0054459744
2020,1,17,22,.024375357,-.0020241961,-.0089488067,-.010709238
2020,1,17,23,-.0064996583,-.098685592,-.020400906,-.02417266
2020,1,17,24,.040331513,.073104024,.012714792,.032996714
2020,1,17,25,.015445867,.0091655254,-.0069924071,-.011377171
2020,1,17,26,-.043418467,-.043566145,-.01413213,-.031963829
2020,1,17,27,-.088244416,-.018780792,-.016873145,-.035055645
2020,1,17,28,-.0094941296,-.047931001,.00017970077,-.022615245
2020,1,17,29,.037016638,.0032130703,.013836843,.0037811534
2020,1,17,30,-.011447479,.026763259,.003913586,-.037610345
2020,1,17,31,-.015566511,-.044327721,-.0091443518,-.02091624
2020,1,17,32,.054290503,-.018027682,-.0071281712,.0061265654
2020,1,17,33,.0051899296,-.061782483,-.030110227,-.028823733
2020,1,17,34,.0036875282,-.021587651,-.0011194758,.0051233731
2020,1,17,35,-.0034819136,-.018709166,-.0072610523,.0089742262
2020,1,17,36,-.0063327337,-.028962595,-.010041328,-.008688272
2020,1,17,37,.0059442888,.015245525,.0093394844,.0040949285
2020,1,17,38,-.065221757,-.2144419,-.01549891,-.046225745
2020,1,17,39,.0098958639,.0052294256,-.011452707,-.0036420289
2020,1,17,40,-.004876297,-.062506117,-5.2213181e-06,-.0002644092
2020,1,17,41,.018807678,-.0064693321,.0074416134,-.010343472
2020,1,17,42,.022576297,-.014594528,-.0012777885,-.0029119374
2020,1,17,44,-.040208105,-.0035989964,-.0098988554,-.0089216279
2020,1,17,45,.02375002,-.0028601759,.00058066903,-.010508843
2020,1,17,46,-.051878382,-.069906317,-.015088693,-.054468594
2020,1,17,47,-.0030374033,-.031261329,-.0078847595,-.009050332
2020,1,17,48,.0017557009,-.012811847,-.0075896825,-.010586998
2020,1,17,49,-.018286038,-.018016668,-.0095152371,-.016203633
2020,1,17,50,-.10307433,-.026038596,-.011239462,-.039735138
2020,1,17,51,.072659053,.03447124,.021890858,.029478824
2020,1,17,53,-.069238268,-.10957727,-.023697512,-.040508553
2020,1,17,54,.068876445,.0244291,.0022776695,.015393571
2020,1,17,55,-.084718615,-.074820727,-.028383495,-.053538531
2020,1,17,56,.017081311,-.064401366,.027116479,.0069342945
2020,1,18,1,.015564863,.0095057767,-.0064134719,.000016243732
2020,1,18,2,-.0016716039,-.093957581,.012103841,.017964138
2020,1,18,4,.060413737,.044515293,.0012209229,.001072603
2020,1,18,5,.046723112,-.023682723,-.00081060297,-.011971085
2020,1,18,6,.040771019,.040961932,.0071212384,.015507399
2020,1,18,8,.048727416,.021219326,.010953775,-.0045014326
2020,1,18,9,-.064067453,-.055000447,-.0049912632,-.0051580402
2020,1,18,10,.0067800269,.022039223,.0083247507,.012817474
